common name,group,scientific name
Blackbird,bird,Turdus merula
Wren,bird,Troglodytes troglodytes
Robin,bird,Erithacus rubecula
Song_thrush,bird,Turdus philomelos
Dunnock,bird,Prunella modularis
Chiffchaff,bird,Phylloscopus collybita
Blackcap,bird,Sylvia atricapilla
Goldfinch,bird,Carduelis carduelis
Chaffinch,bird,Fringilla coelebs
Greenfinch,bird,Chloris chloris
Blue_tit,bird,Cyanistes caeruleus
Great_tit,bird,Parus major
Long-tailed_tit,bird,Aegithalos caudatus
Magpie,bird,Pica pica
Crow,bird,Corvus corone
Jackdaw,bird,Corvus monedula
Jay,bird,Garrulus glandarius
Woodpigeon,bird,Columba palumbus
Feral_pigeon,bird,Columba livia
Collared_dove,bird,Streptopelia decaocto
Stockdove,bird,Columba oenas
Swift,bird,Apus apus
House_martin,bird,Delichon urbicum
Sand_martin,bird,Riparia riparia
Swallow,bird,Hirundo rustica
Sparrow,bird,Passer domesticus
Parakeet,bird,Psittacula krameri
Starling,bird,Sturnus vulgaris
Uknown_Small_white_butterfly,insect,Piers rapae/napi
Speckled_wood,insect,Pararge aegeria
Meadow_brown,insect,Maniola jurtina
Large_white,insect,Pieris brassicae
Red_admiral,insect,Vanessa atalanta
Uknown_White_tailed,insect,unknown-white-tailed
Tree_bumblebee,insect,Bombus hypnorum
Buff-tailed,insect,Bombus terrestris
Garden,insect,Bombus hortorum
Uknown_Red-tailed_bumblebee,insect,unknown-red-tailed
Red-tailed_bumblebee,insect,Bombus lapidarius
White_tailed,insect,Bombus lucorum
Marmalade,insect,Episyrphus balteatus
Pied,insect,Scaeva pyrastri
Western_honeybee,insect,Apis mellifera
Common_wasp,insect,Vespula vulgaris
Crane_fly,insect,Tipula spp.
Sycamore,plant,Acer pseudoplatanus
Ash,plant,Fraxinus excelsior
Hawthorn,plant,Crataegus monogyna
Birch,plant,Betula pendula
Lime,plant,Tilia cordata
Oak,plant,Quercus robur
Cherry,plant,Prunus avium
Holly,plant,Ilex aquifolium
Willow,plant,Salix cinerea
Rowan,plant,Sorbus aucuparia
Elder,plant,Sambucus nigra
Beech,plant,Fagus sylvatica
Alder,plant,Alnus glutinosa
Maple,plant,Acer campestre
Poplar,plant,Populus alba
Crab_Apple,plant,Malus sylvestris sens.lat.
Horse-chestnut,plant,Aesculus hippocastanum
Blackthorn,plant,Prunus spinosa
Hazel,plant,Corylus avellana
Plane,plant,Platanus orientalis
Hornbeam,plant,Carpinus betulus
Scots pine,plant,Pinus sylvestris
Whitebeam,plant,Sorbus aria
Brambles,plant,Rubus fruticosus agg.
Ivy,plant,Hedera helix
Bindweed,plant,Calystegia silvatica
Buddleja,plant,Buddleja davidii
Rose,plant,Rosa rubiginosa
Knotweed,plant,Fallopia japonica
Rhododendron_ponticum,plant,Rhododendron ponticum
Privet,plant,Ligustrum ovalifolium
Horsetail,plant,Equisetum arvense
Bracken,plant,Pteridium aquilinum
Maidenhair_spleenwort,plant,Asplenium trichomanes
Harts_tongue,plant,Phyllitis scolopendrium
Ground_based_fungi,plant,
Wood_based_fungi,plant,
Mosses,plant,Bryophyta spp.
Lichen,plant,
Cocks_foot,plant,Dactylis glomerata
Yorkshire_fog,plant,Holcus lanatus
Common_reed,plant,Phragmites australis
Common_rush,plant,Juncus effusus
Dandelion,plant,Taraxacum
Nettles,plant,Urtica dioica
Willowherb,plant,Chamaenerion angustifolium
Wood_avens,plant,Geum urbanum
Buttercup_creeping,plant,Ranunculus repens
Broad-leaved_Dock,plant,Rumex obtusifolius
Clover_white,plant,Trifolium repens
Ragwort,plant,Senecio jacobaea
Daisy,plant,Bellis perennis
Thistles,plant,Cirsium arvense
Herb_Robert,plant,Geranium robertianum
Balsam,plant,Impatiens glandulifera
Hogweed,plant,Heracleum sphondylium
Cowslip,plant,Anthriscus sylvestris
Buttercup_meadow,plant,Ranunculus acris
Cleavers,plant,Galium aparine
Vetch,plant,Vicia sativa
Clover_red,plant,Trifolium pratense
Ragwort_Oxford,plant,Senecio squalidus
Yellow-flag_iris,plant,Iris pseudacorus
Bistort,plant,Persicaria bistorta
Red_Campion,plant,Silene dioica