title,distance_to_motorway_m,distance_to_aroad_or_motorway_m,distance_to_broad_or_aroad_or_motorway_m,distance_to_public_road_m,distance_to_major_river_m,distance_to_secondary_river_m,distance_to_watercourse_m,distance_to_railway_m,distance_to_woodland_m,distance_to_offroad_cyclepath_m,distance_to_large_greenspace_m,distance_to_medium_greenspace_m,distance_to_small_greenspace_m,area_max_building_height_m,area_avg_building_height_m,area_total_building_area_m2,max_tree_height,canopy_cover,area_max_tree_height,area_avg_tree_height,area_canopy_cover,area_tree_count,area_greenspace_m2,area_private_gardens_m2,area_id,year,days_into_survey,duration,hour_of_day,avg_loudness_decibels,pedestrian_count,lawn_present,lawn_area_m2,lawn_shard_length_cm,lawn_other_species_present,wild_grass_present,wild_grass_area_m2,wild_grass_shard_length_cm,wild_grass_other_species_present,land_use
1033 9,389,389,389,11,4232,1321,318,937,1072,615,1446,451,166,6.4,3.27,9023,10.51,284.94,14.44,5.19,2562,105,0,21499,9,2024,34,480,17,67,5,TRUE,300,10,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
1083 1,153,153,153,0,554,554,93,211,156,51,1532,620,119,7.1,4.52,5098,17.84,107.06,20,9.36,5282,138,2030,15674,1,2024,55,480,09,61.5,1,TRUE,35,15,TRUE,FALSE,0,0,FALSE,Private residential
1083 2,279,279,279,21,445,445,189,186,189,174,1486,482,243,31,4.79,6602,5.54,30.69,23.63,6.88,2711,107,0,18044,2,2024,55,360,09,58.5,0,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Private residential
1083 6,89,89,89,66,513,513,39,305,182,106,1450,556,57,6.8,4.56,1358,0,0,28.77,13.81,14384,222,11283,4765,6,2024,55,540,09,66.5,1,FALSE,0,0,FALSE,TRUE,350,80,TRUE,Public Park Or Garden
1084 2,254,254,254,13,784,784,143,261,200,0,1554,675,143,8,4.04,7948,13,106.12,26.18,7.11,4178,119,0,14967,2,2024,55,540,10,60,2,TRUE,350,5,TRUE,FALSE,0,0,FALSE,Other greenspace
1084 3,624,624,624,11,415,415,129,374,129,352,1783,624,100,8.9,4.38,5605,15.02,127.56,20.4,10.52,9001,167,4454,10603,3,2024,55,480,09,51,2,TRUE,300,10,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
1084 6,561,561,561,17,467,467,10,546,10,324,1509,499,4,8.9,5.45,8216,12.86,231.12,31.61,13.5,8471,154,5881,13344,6,2024,55,540,10,50,1,TRUE,20,25,FALSE,TRUE,100,60,TRUE,Public Park Or Garden
1084 7,339,339,339,30,634,634,174,509,209,224,1353,501,206,10.4,4.48,7376,4.17,15.88,19.95,8.8,6259,149,0,16222,7,2024,55,420,10,58,8,TRUE,10,5,TRUE,FALSE,0,0,FALSE,Public residential
1084 9,652,652,652,24,388,388,14,538,60,288,1596,534,0,8.9,4.4,4603,27.93,359.69,31.61,15.95,15220,247,11195,13156,9,2024,55,360,09,56.5,0,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Local Nature Reserve
1084 12,460,460,460,7,587,587,113,439,113,196,1514,595,97,10.4,5.2,8918,11.47,22.56,16.08,8.06,5163,107,11,8446,12,2024,55,300,10,68.5,5,TRUE,100,10,TRUE,FALSE,0,0,FALSE,Public square
108 1,828,615,615,225,2594,2594,183,1418,312,20,963,963,10,0,0,0,26.49,398.38,30.66,20.95,19375,176,10677,0,1,2024,59,360,17,55,10,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
108 3,1165,376,376,135,2735,2735,28,1641,218,1,1019,908,224,0,0,0,19.35,72.31,26.27,16.73,16321,194,11735,0,3,2024,59,360,17,55.5,1,TRUE,380,5,FALSE,FALSE,0,0,FALSE,Golf Course
108 4,709,699,525,236,2485,2485,113,1299,298,94,1051,1051,85,0,0,0,16.48,365,28.94,14.54,15549,173,9837,0,4,2024,59,360,16,72.5,3,TRUE,200,10,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
108 7,941,591,558,270,2547,2547,52,1430,52,7,1114,940,146,0,0,0,11.07,14.12,24.43,14.29,13601,168,7099,0,7,2024,59,360,17,56.5,10,TRUE,380,5,FALSE,FALSE,0,0,FALSE,Golf Course
108 10,800,743,475,316,2392,2392,126,1276,126,1,1246,907,92,0,0,0,11.29,93.12,24.43,13.35,8054,125,6001,0,10,2024,59,360,17,56,4,TRUE,350,5,FALSE,FALSE,0,0,FALSE,Golf Course
112 2,927,202,110,47,576,576,121,661,1062,650,664,664,664,11.6,4.68,3715,0,0,19.66,10.95,5322,99,0,5620,2,2024,59,360,17,69,10,TRUE,400,10,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
112 3,840,206,197,25,576,576,209,694,990,649,661,661,661,8.6,5.48,4830,7.89,65.06,19.66,10.91,3653,56,0,6588,3,2024,59,360,18,59.5,12,TRUE,350,5,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
112 5,788,94,94,21,684,684,224,608,902,589,769,737,737,8.6,5.14,8581,18.14,87.62,20.24,10.99,4216,67,0,9831,5,2024,59,480,17,61.5,6,TRUE,200,15,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
112 7,820,170,87,5,983,983,102,301,725,283,919,904,640,11,6.03,7479,15.35,39.56,27.74,10.32,4133,71,0,8936,7,2024,59,420,18,66,3,FALSE,380,15,TRUE,FALSE,0,0,FALSE,Public residential
136 4,660,94,94,39,1880,1880,4,161,907,469,501,501,501,8.4,5.08,7263,14.74,310.19,16.46,7.16,5681,143,3390,13953,4,2024,9,660,16,69.5,15,TRUE,100,10,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
136 6,620,93,93,27,1916,1916,84,169,842,523,550,550,490,8.4,4.39,5719,2.88,6.25,19.58,7.56,5042,127,2737,12288,6,2024,9,480,16,72.5,1,TRUE,400,10,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
136 7,678,250,250,33,1662,1662,262,245,832,250,300,300,300,7.2,5.24,4457,9.28,84.06,19.59,11.45,5934,96,2427,5707,7,2024,9,540,16,60.5,3,TRUE,100,15,FALSE,FALSE,0,0,FALSE,Religious Grounds/Cemetery
145 7,854,854,38,10,73,73,20,674,1383,1,101,101,101,18.8,5.98,2836,14.45,275.69,23.64,11.02,13801,184,8725,249,7,2024,59,420,18,56.5,1,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Cycle/footpath
145 9,1080,380,33,27,420,420,18,746,1274,507,547,547,547,28.5,5.9,6832,17.47,251.56,20.13,10.82,3654,65,3692,5465,9,2024,59,360,18,60,1,TRUE,300,20,TRUE,FALSE,0,0,FALSE,Public residential
171 1,1613,273,273,27,2463,2463,15,1512,15,256,1875,326,119,7.2,4.63,4487,13.55,400,19.53,8.18,7912,148,6700,14572,1,2024,59,420,16,57,0,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
202 1,2146,123,123,16,2359,2359,579,810,579,216,1146,868,584,9.4,5.05,6456,6.91,5.88,19.32,8.27,8122,168,1565,16169,1,2024,59,540,14,54.5,2,TRUE,300,25,TRUE,TRUE,20,40,TRUE,Other greenspace
202 2,2056,139,139,15,2446,2446,487,888,487,168,1266,939,510,13.9,4.54,6763,15.48,245.56,18.3,9.13,8590,172,2359,20241,2,2024,59,480,15,48.5,0,FALSE,50,40,TRUE,FALSE,0,0,FALSE,Other greenspace
202 6,1601,210,45,45,2219,2219,487,599,515,251,1185,1185,947,16.9,5.52,6051,21.86,27.56,26.37,9.86,4636,80,0,3370,6,2024,59,480,14,63.5,0,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Brownfield
202 8,2039,56,56,50,2356,2356,575,798,575,134,1217,974,601,9.4,4.28,7041,13.64,220.62,17.54,7.92,7672,177,2110,16620,8,2024,59,480,14,59,0,TRUE,100,5,FALSE,FALSE,0,0,FALSE,Private residential
203 2,1705,87,87,62,2448,2448,89,1334,89,0,1548,608,76,6.2,3.98,1265,18.63,337.06,30.6,11.67,13165,220,13174,3124,2,2024,59,360,15,62,3,TRUE,20,30,TRUE,FALSE,0,0,FALSE,Golf Course
203 4,1681,144,144,40,2427,2427,33,1396,33,56,1642,515,10,6.4,4,2471,15.12,400,26.91,10,15442,253,18284,6881,4,2024,59,420,15,56.5,1,FALSE,0,0,FALSE,TRUE,40,50,TRUE,Cycle/footpath
203 5,1788,14,14,14,2532,2532,152,1265,152,0,1517,644,129,6.4,4.45,2954,16.26,368.56,30.6,11.57,12944,214,11591,6991,5,2024,59,360,15,69.5,1,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Cycle/footpath
203 6,1669,196,196,55,2418,2418,0,1449,55,150,1729,432,15,6.6,4.47,3145,16.46,400,24.48,9.9,17852,266,23673,9156,6,2024,59,480,16,52.5,2,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
203 8,1869,50,50,19,2610,2610,254,1162,254,34,1413,751,234,6.4,4.57,4499,17.36,395.44,23.94,10.7,10774,184,8541,11558,8,2024,59,360,15,60.5,0,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Cycle/footpath
203 9,1810,61,61,11,2707,2707,324,1127,324,38,1633,712,401,8.2,4.06,6227,20.05,248.56,20.05,8.37,6794,128,0,21637,9,2024,59,420,15,59.5,3,TRUE,50,5,FALSE,TRUE,50,30,TRUE,Private residential
203 11,1607,278,278,48,2433,2433,12,1521,35,262,1878,320,75,7.2,4.92,3547,19.53,347.38,23.55,9.69,10109,165,9476,10784,11,2024,59,360,16,54.5,0,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
231 1,822,218,218,5,886,886,0,649,55,26,802,233,4,8.9,5.78,3192,12.12,145.12,16.01,8.53,10380,360,15026,7873,1,2024,9,1020,13,63.5,2,FALSE,0,0,FALSE,TRUE,400,80,TRUE,Reclaimed greenspace
231 2,814,49,49,32,1019,1019,132,532,132,102,675,295,65,8.8,4.76,4636,15.06,237.88,17.89,10.25,14854,330,13028,2196,2,2024,9,420,14,62.5,6,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Medical Centre
231 3,710,90,90,29,947,947,127,616,127,97,604,377,117,9.6,5.73,3375,0,0,18.47,10.45,12408,233,5345,4904,3,2024,9,660,14,62.5,5,TRUE,16,5,FALSE,FALSE,0,0,FALSE,Other greenspace
231 7,787,155,155,11,921,921,25,625,25,0,717,279,9,9.6,6.81,1757,13.88,400,16.01,9.55,15253,371,16403,2273,7,2024,9,420,14,72,6,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Reclaimed greenspace
231 8,886,140,140,73,971,971,64,564,101,27,804,179,0,6.6,4.65,966,14.04,400,16.62,9.71,21806,573,28123,843,8,2024,9,600,14,60,2,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Reclaimed greenspace
231 12,944,231,231,15,942,942,3,591,195,15,936,121,17,7.1,4.89,2809,7.25,75.5,21.65,8.77,13274,411,19639,7520,12,2024,9,720,14,57.5,4,FALSE,0,0,FALSE,TRUE,300,100,TRUE,Reclaimed greenspace
233 11,1515,123,123,6,1521,1521,510,25,740,182,582,236,236,6.7,4.34,5649,9.27,94,14.93,6.36,5370,136,7424,5346,11,2024,9,600,16,57,0,TRUE,100,5,FALSE,FALSE,0,0,FALSE,Public residential
237 5,1081,298,298,41,1745,1745,0,1210,827,643,1692,570,557,7.1,3.9,3690,2.78,0,14,6.66,1428,50,0,9435,5,2024,47,420,18,53.5,2,TRUE,300,20,TRUE,FALSE,0,0,FALSE,Playing Field
237 9,723,476,417,12,1432,1432,31,858,809,673,2040,939,579,7.4,3.82,6520,17.98,291.06,25.02,9.8,7913,153,1771,17749,9,2024,47,300,18,50,1,TRUE,350,5,FALSE,FALSE,0,0,FALSE,Public residential
239 1,227,67,67,67,332,332,213,54,1805,217,2027,1566,81,21.9,11.2,6566,0,0,14.99,7.15,2577,76,1538,147,1,2024,2,300,15,63.5,3,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Private residential
239 3,297,27,27,27,315,315,22,94,1778,8,1827,1703,143,8.2,4.22,9960,2.84,24.81,13.3,6.1,1520,61,0,1388,3,2024,2,360,15,72.5,1,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Private commercial
239 5,288,106,106,71,308,308,102,93,1794,88,1898,1664,73,21.9,9.42,15090,0,0,14.99,5.58,896,40,629,0,5,2024,2,300,15,61,25,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Private commercial
239 6,11,10,10,10,716,716,58,110,1383,11,2059,1335,111,8.3,5.46,1831,16.4,399.25,22.93,11.58,13031,164,8895,4221,6,2024,2,300,16,80,0,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Roadside
239 8,162,5,5,5,478,478,87,61,1613,80,1833,1528,184,40,6.67,4352,15,234,27.39,10.56,6444,118,1767,6742,8,2024,2,420,15,70.5,5,TRUE,300,15,TRUE,FALSE,0,0,FALSE,Roadside
239 11,23,15,15,15,636,636,109,34,1462,0,2008,1407,48,9.1,5.56,789,13.92,400,22.93,11.23,12988,176,9053,1507,11,2024,2,240,16,79,0,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Roadside
239 12,159,80,80,6,512,512,163,85,1585,129,1782,1484,236,42.5,8.53,5296,27.28,256.38,27.39,12.01,7138,114,8188,6285,12,2024,2,600,16,66,2,TRUE,380,15,TRUE,FALSE,0,0,FALSE,Roadside
242 2,1165,291,259,99,1011,1011,256,283,333,273,1229,1229,1229,10.5,6.54,17397,0,0,5.46,4.02,207,7,0,0,2,2024,59,360,19,64,2,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Private commercial
248 2,324,324,322,241,699,699,75,992,193,290,3091,76,69,3.8,3.17,304,17.53,87.81,21.91,8.19,5763,96,2822,0,2,2024,48,420,14,62.5,1,FALSE,0,0,FALSE,TRUE,200,120,TRUE,Other greenspace
248 3,528,528,117,41,982,982,163,874,163,499,3265,163,0,11.7,5.09,2383,21.27,400,23.87,11.93,21245,251,15556,10578,3,2024,48,360,14,59,0,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Other greenspace
248 5,177,164,164,140,552,552,45,972,178,119,2897,128,41,0,0,0,4.230000000000002,26.19,19.74,8.38,12978,192,7112,0,5,2024,48,480,15,67,0,FALSE,0,0,FALSE,TRUE,200,120,TRUE,Other greenspace
248 6,325,310,191,71,727,727,21,800,21,192,2843,8,0,5.7,4.09,1540,16.37,287.62,17.88,11.26,16646,245,20284,3217,6,2024,48,420,15,67,0,TRUE,200,10,FALSE,TRUE,40,60,TRUE,Public Park Or Garden
248 7,426,426,217,133,894,894,174,966,198,399,3279,175,0,0,0,0,8.26,133,23.87,12.51,14970,176,11967,0,7,2024,48,300,14,61,0,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Other greenspace
248 8,312,312,312,253,774,774,172,1058,264,285,3174,172,106,0,0,0,19.19,366.44,22.76,9.63,3793,66,0,0,8,2024,48,420,14,74,0,FALSE,0,0,FALSE,TRUE,40,80,TRUE,Other greenspace
248 9,340,340,272,180,699,699,6,924,137,288,3014,8,2,3.8,3.3,50,13.73,107.06,19.21,9.77,17369,229,15782,0,9,2024,48,360,14,61,0,FALSE,0,0,FALSE,TRUE,200,200,FALSE,Other greenspace
295 1,1127,857,857,61,790,790,100,262,251,17,591,461,0,6.6,3.81,729,11.35,388.75,20.18,9.39,18687,274,29947,3023,1,2024,9,540,15,57.5,0,FALSE,0,0,FALSE,FALSE,8,30,TRUE,Reclaimed greenspace
295 4,898,898,898,41,581,581,157,118,157,132,626,309,52,14.7,5.02,3184,15.15,349.69,22.02,12.77,18299,241,13617,13786,4,2024,9,480,15,59.5,1,FALSE,0,0,FALSE,TRUE,50,100,TRUE,Public residential
295 6,1187,899,899,57,742,742,105,216,245,0,557,387,0,2.6,2.2,20,13.19,252.31,18.3,9.53,21986,346,28917,313,6,2024,9,540,15,55,0,FALSE,0,0,FALSE,TRUE,20,60,FALSE,Reclaimed greenspace
298 1,2483,16,16,16,1220,1220,109,174,112,498,275,9,9,6.7,4,3588,15.11,68.94,22.52,10.87,6557,95,3178,6694,1,2024,47,420,15,64,7,TRUE,10,5,FALSE,TRUE,20,20,TRUE,Playing Field
298 3,2391,10,10,10,1323,1323,144,208,181,357,456,133,133,13.8,4.1,3591,16.58,127.62,16.58,5.84,1768,55,0,6921,3,2024,47,480,15,67,1,TRUE,380,5,TRUE,FALSE,0,0,FALSE,Playing Field
298 4,2510,85,85,85,1176,1176,46,112,89,516,293,41,41,6.7,4.52,540,0,0,24.21,12.88,10693,115,11892,79,4,2024,47,360,15,65,0,TRUE,400,5,TRUE,FALSE,0,0,FALSE,Playing Field
298 6,2464,14,14,14,1268,1268,124,188,179,421,371,108,108,5.6,3.86,2516,0,0,16.58,6.41,1659,44,0,6681,6,2024,47,360,15,67.5,0,TRUE,160,5,TRUE,FALSE,0,0,FALSE,Playing Field
298 11,2137,31,31,3,1290,1290,188,165,188,578,179,179,141,9.8,4.14,8401,11.47,103.06,21.1,6.9,3540,119,343,15268,11,2024,47,420,15,61,4,TRUE,5,5,TRUE,FALSE,0,0,FALSE,Private residential
299 1,1993,17,17,17,1818,1818,263,754,341,0,821,42,42,6.7,4.01,2593,30.31,364.75,30.31,10.92,15179,267,11824,8588,1,2024,47,540,16,63.5,1,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
299 2,1789,165,165,70,1830,1830,371,853,546,136,944,52,0,6.3,4.57,1366,23.14,213.12,26.27,14.46,25340,295,26525,1180,2,2024,47,420,17,60,5,FALSE,0,0,FALSE,TRUE,300,15,TRUE,Public Park Or Garden
299 3,1757,214,214,17,1765,1765,465,821,628,192,880,132,0,15.1,5.02,3631,26.27,16.19,26.27,14.98,20362,225,13206,6865,3,2024,47,480,17,59,1,TRUE,300,5,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
299 4,1922,36,36,36,1773,1773,343,755,449,10,885,0,0,5.4,3.9,258,13.15,391.5,26.98,12.95,24274,335,23458,359,4,2024,47,360,16,65,1,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
299 5,1923,49,49,24,1679,1679,444,684,529,27,796,20,20,7.4,3.82,2865,24.54,271.31,27.61,14.1,17631,246,14796,2403,5,2024,47,360,16,65,1,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
299 7,2046,35,35,35,1724,1724,349,663,382,29,761,71,71,9.2,4.24,2554,0,0,30.31,11.49,9978,183,8190,5903,7,2024,47,360,16,69.5,20,TRUE,380,5,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
299 8,1847,125,125,28,1687,1687,481,724,596,105,801,89,34,7.4,4.49,4324,23.17,400,26.98,14.08,17306,210,12414,4687,8,2024,47,540,16,56,3,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
300 1,1507,438,245,70,1739,1739,576,914,856,466,893,440,266,7.6,5.43,2549,25.09,321.56,26.59,16.66,19249,187,11588,1032,1,2024,47,300,17,53.5,4,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
300 3,1348,454,28,28,1652,1652,807,945,993,719,799,723,529,8.7,5.8,7520,19.94,168.94,24,9.57,11383,191,5002,15344,3,2024,47,360,18,62.5,2,TRUE,200,5,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
300 4,1459,445,161,39,1679,1679,677,902,883,552,864,549,373,9.9,5.92,2872,23.52,400,25.09,14.09,18843,221,12097,4991,4,2024,47,360,17,58,15,TRUE,80,10,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
300 5,1512,408,320,104,1804,1804,496,956,877,445,947,387,230,9.5,4.87,2239,24.72,233.56,26.59,15.35,17559,188,11913,3761,5,2024,47,540,17,58,7,TRUE,300,5,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
300 6,1377,466,262,60,1805,1805,575,1018,978,595,985,552,389,7.5,5.08,1661,15.33,29.06,27.49,15.9,20410,208,15713,4559,6,2024,47,360,18,52.5,10,TRUE,380,20,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
300 7,1329,474,103,42,1720,1720,729,994,1009,695,879,687,511,8.7,5.18,3759,22.23,224.31,27.49,11.62,16287,226,10272,13476,7,2024,47,360,18,57.5,5,TRUE,350,10,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
300 8,1645,326,326,3,1817,1817,461,906,717,302,937,222,78,17,5.18,5900,22.59,355.69,26.27,12.05,16470,221,4016,14537,8,2024,47,480,17,58,4,TRUE,100,10,FALSE,FALSE,0,0,FALSE,Private residential
311 1,1201,105,105,105,1362,1362,358,553,1097,619,3393,1097,779,7.8,4.56,2613,21.25,112.94,25.16,12.02,12398,170,1476,6734,1,2024,48,300,13,54.5,14,TRUE,380,10,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
311 5,1107,209,209,77,1223,1223,458,525,1010,461,3556,1167,774,9.8,6.8,1202,18.69,274,25.16,13.16,14786,201,0,502,5,2024,48,360,13,55.5,2,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
311 6,1101,92,92,92,1262,1262,456,632,1006,572,3460,1057,711,9.3,5.93,1564,20.8,396.5,25.16,12.69,15361,177,4642,3949,6,2024,48,300,13,55.5,5,TRUE,350,10,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
311 7,1025,140,140,16,1160,1160,449,501,928,441,3594,1125,701,8,6.11,5370,17.56,93.69,25.16,12.98,12908,175,533,3928,7,2024,48,300,13,53,4,TRUE,340,10,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
311 8,1010,57,57,15,1176,1176,548,607,915,547,3507,1010,625,9.3,5.7,6000,17.78,397.38,25.16,12.39,11468,143,4438,7765,8,2024,48,240,13,62,3,TRUE,100,20,TRUE,TRUE,250,40,FALSE,Public Park Or Garden
311 9,1181,190,190,108,1309,1309,378,595,1085,526,3481,1167,819,5.1,2.79,829,15.94,235.38,25.16,13.32,14210,178,40,1031,9,2024,48,420,13,58.5,1,TRUE,300,15,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
335 1,140,140,53,1,846,846,509,172,2249,1176,1397,933,280,12.6,5.58,10063,5.28,27.44,15.57,6.79,1469,43,0,13271,1,2024,2,600,14,56,10,TRUE,40,20,TRUE,FALSE,0,0,FALSE,Medical Centre
335 7,326,326,50,0,1005,1005,659,359,2059,1182,1247,1118,399,9.3,5.38,9885,0,0,18.46,6.95,1634,47,0,17288,7,2024,2,360,14,60,4,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public residential
335 9,330,330,130,0,982,982,627,364,2042,1194,1283,1156,371,7.5,5.29,9549,8.48,11.38,17.61,8.68,1785,41,0,19728,9,2024,2,240,14,52.5,10,TRUE,100,10,FALSE,FALSE,0,0,FALSE,Private residential
335 10,25,25,25,22,706,706,342,8,2416,1178,1533,705,324,12.5,6.65,6528,0,0,14.58,8.48,2260,54,637,5848,10,2024,2,360,14,73.5,0,TRUE,20,5,TRUE,FALSE,0,0,FALSE,Private residential
336 1,372,244,244,102,552,552,423,245,2323,1145,1742,276,276,6.4,4.26,2266,0,0,20.94,11.77,6826,94,0,0,1,2024,2,720,13,58.5,2,TRUE,300,10,TRUE,TRUE,30,35,TRUE,Religious Grounds/Cemetery
336 2,486,359,359,10,363,363,246,342,2109,1183,1904,237,237,13.6,4.66,4369,0,0,21.68,11.6,4302,98,0,0,2,2024,2,480,12,68,1,TRUE,1,5,TRUE,FALSE,0,0,FALSE,Private commercial
336 6,182,55,55,14,715,715,445,55,2461,1234,1562,446,446,6.7,4.6,8465,14.56,275.88,18.41,9.6,6557,104,2559,4348,6,2024,2,840,13,62,0,TRUE,400,10,TRUE,TRUE,4,40,TRUE,Public residential
336 8,44,44,44,15,784,784,427,27,2506,1369,1466,620,533,9.7,5.68,4994,0,0,24.27,9.41,5340,78,312,3721,8,2024,2,360,14,70.5,2,TRUE,8,10,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
336 9,475,348,348,56,438,438,385,348,2213,1091,1853,180,180,13.6,6.23,2437,15.71,137.19,21.8,12.4,5264,91,0,0,9,2024,2,720,13,65.5,0,TRUE,300,10,TRUE,TRUE,30,30,TRUE,Religious Grounds/Cemetery
336 10,464,335,335,152,498,498,481,336,2287,1041,1823,190,190,0,0,0,11.75,116,22,13.08,6390,88,243,0,10,2024,2,540,13,74,0,TRUE,300,10,TRUE,TRUE,30,30,TRUE,Religious Grounds/Cemetery
