title,distance_to_motorway_m,distance_to_aroad_or_motorway_m,distance_to_broad_or_aroad_or_motorway_m,distance_to_public_road_m,distance_to_major_river_m,distance_to_secondary_river_m,distance_to_watercourse_m,distance_to_railway_m,distance_to_woodland_m,distance_to_offroad_cyclepath_m,distance_to_large_greenspace_m,distance_to_medium_greenspace_m,distance_to_small_greenspace_m,area_max_building_height_m,area_avg_building_height_m,area_total_building_area_m2,max_tree_height,canopy_cover,area_max_tree_height,area_avg_tree_height,area_canopy_cover,area_tree_count,area_greenspace_m2,area_private_gardens_m2,area_id,year,days_into_survey,duration,hour_of_day,avg_loudness_decibels,pedestrian_count,lawn_present,lawn_area_m2,lawn_shard_length_cm,lawn_other_species_present,wild_grass_present,wild_grass_area_m2,wild_grass_shard_length_cm,wild_grass_other_species_present,land_use
342 1,1773,343,343,27,1696,1696,5,284,1524,0,3513,1761,292,10.4,4.9,6094,6.83,11.25,16.31,6.98,3564,106,0,10123,1,2024,48,420,12,64,2,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Cycle/footpath
342 5,1876,507,507,29,1803,1803,59,109,1688,51,3347,1754,166,10.4,5.76,7603,4.73,56.94,19.07,8.69,5785,109,0,6946,5,2024,48,360,12,58,1,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public residential
342 6,1767,245,245,27,1648,1648,5,364,1426,0,3611,1817,349,9.5,4.36,7527,15.11,322.38,15.11,7.07,3080,102,0,9023,6,2024,48,480,12,55,7,TRUE,20,5,TRUE,FALSE,0,0,FALSE,Cycle/footpath
342 8,1799,468,468,12,1771,1771,105,180,1650,92,3388,1705,241,10.4,5.56,8170,0,0,19.07,7.55,2539,77,0,11243,8,2024,48,300,12,60.5,0,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public residential
343 6,1371,14,14,0,1165,1165,49,141,1207,39,3929,1695,341,8.7,4.8,7428,18.69,231,30.66,11.18,7021,111,3770,6980,6,2024,48,360,13,64.5,0,TRUE,200,10,TRUE,FALSE,0,0,FALSE,Public residential
363 2,2245,603,603,164,559,559,314,37,707,268,51,51,0,9.1,6.6,4404,12.89,398.81,18.71,11.16,23541,285,26172,0,2,2024,47,480,14,58,0,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Cycle/footpath
363 4,2271,458,458,81,785,785,421,12,436,28,38,38,34,11.7,5.51,6205,11.76,109.06,15.38,7.72,9754,147,20249,1678,4,2024,47,600,14,50.5,3,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Brownfield
363 6,2342,469,469,73,809,809,355,60,373,5,96,79,0,11.7,6.07,9469,12.73,279,13.56,7.2,6585,113,16557,0,6,2024,47,540,14,60,3,FALSE,0,0,FALSE,TRUE,100,60,TRUE,Cycle/footpath
363 8,2273,538,538,113,683,683,387,32,546,129,59,59,59,11.7,6.84,11121,13.84,354.12,15.79,7.09,6858,131,16716,0,8,2024,47,420,14,54.5,1,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Cycle/footpath
369 1,555,402,402,143,479,479,434,405,2291,909,1898,85,85,0,0,0,11.55,16.38,22,11.51,10662,142,8942,0,1,2023,54,300,17,51.5,1,TRUE,150,5,TRUE,FALSE,0,0,FALSE,Religious Grounds/Cemetery
369 3,761,58,58,34,462,462,294,32,2545,556,2116,352,352,11.7,3.86,3965,0,0,16.88,5.52,1977,77,0,0,3,2023,54,360,16,60,0,FALSE,0,0,FALSE,TRUE,100,45,TRUE,Brownfield
369 7,500,298,298,84,578,578,525,301,2400,907,1837,31,31,6.8,4.78,3712,18.08,236.88,22,10.3,12945,193,14227,0,7,2023,54,360,17,49.5,0,TRUE,180,5,TRUE,FALSE,0,0,FALSE,Religious Grounds/Cemetery
369 8,903,438,438,41,197,197,157,374,2129,579,2240,86,86,42.4,13.06,11899,10.86,71.81,15.92,8.13,3850,100,504,0,8,2023,54,420,16,54,1,TRUE,40,5,FALSE,FALSE,0,0,FALSE,Private commercial
369 10,630,385,385,115,430,430,377,386,2258,831,1971,46,46,0,0,0,5.76,13.94,21.55,12.5,11043,149,7629,0,10,2023,54,300,17,47,0,TRUE,250,5,TRUE,FALSE,0,0,FALSE,Religious Grounds/Cemetery
369 12,883,283,283,6,271,271,271,248,2286,490,2219,198,198,34.7,7.32,11616,0,0,14.69,7.2,1152,39,0,692,12,2023,54,360,16,52,7,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Private commercial
377 1,1072,443,443,150,384,384,299,729,789,365,4731,1023,308,0,0,0,0,0,16.28,8.68,1219,22,0,0,1,2024,89,420,13,57.5,2,TRUE,400,10,TRUE,FALSE,0,0,FALSE,Playing Field
377 2,858,624,624,52,284,284,206,798,702,239,4654,810,248,0,0,0,15.36,20.25,20.04,9.75,16200,225,431,0,2,2024,89,600,14,56.5,1,TRUE,350,15,TRUE,TRUE,20,30,TRUE,Playing Field
377 3,1169,295,295,197,489,489,105,609,862,313,4725,1221,308,0,0,0,0,0,16.75,7.3,558,18,0,0,3,2024,89,600,13,59.5,0,TRUE,300,10,FALSE,TRUE,40,40,FALSE,Reclaimed greenspace
377 4,937,416,416,203,303,303,279,438,644,284,4515,1072,495,0,0,0,0,0,14.69,7.95,1607,19,0,0,4,2024,89,480,13,56.5,2,TRUE,300,10,TRUE,TRUE,25,30,FALSE,Playing Field
377 5,934,581,581,18,254,254,254,686,667,236,4618,960,334,0,0,0,12.98,173.75,20.04,14.18,7640,115,54,0,5,2024,89,540,13,69,6,TRUE,380,15,TRUE,TRUE,20,30,TRUE,Playing Field
377 6,983,311,311,97,403,403,262,386,722,378,4540,1155,429,7.5,4.2,774,0,0,17.65,9.04,5464,58,1897,4079,6,2024,89,540,13,63,1,TRUE,300,10,TRUE,TRUE,40,60,TRUE,Playing Field
377 7,958,471,471,183,277,277,277,530,649,256,4559,1063,496,0,0,0,0,0,14.69,7.06,1062,16,0,0,7,2024,89,420,13,59.5,1,TRUE,400,10,TRUE,FALSE,0,0,FALSE,Playing Field
389 2,886,491,491,37,1131,1131,155,711,441,136,386,386,0,6.6,5.01,5450,19.78,131.5,24.26,11.87,15717,239,12801,9576,2,2024,90,360,18,54,6,TRUE,300,5,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
389 5,917,621,621,11,1007,1007,153,836,464,138,272,272,26,6.6,4.9,873,17.09,374.69,24.26,11.18,20041,276,17662,614,5,2024,90,360,18,51.5,3,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
389 9,1057,622,622,119,979,979,9,865,497,0,226,226,0,5,3.09,176,22.33,400,31.81,16.38,31314,370,28962,2856,9,2024,90,360,18,44.5,2,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
389 10,1029,533,533,45,1067,1067,16,778,411,0,311,311,0,7.2,5.4,1459,27.26,400,31.81,16.7,29713,349,27592,4881,10,2024,90,300,18,48,3,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
389 12,1039,393,393,56,1200,1200,42,659,260,78,413,413,93,7.2,5.55,910,26.37,384.81,31.36,18.1,29510,304,22382,2648,12,2024,90,360,18,44.5,2,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Religious Grounds/Cemetery
393 1,2835,311,311,134,99,99,99,397,713,134,687,249,75,9.8,5.35,254,18.32,72.75,25.92,15.7,12255,129,247,0,1,2024,16,420,18,63,0,TRUE,350,15,TRUE,FALSE,0,0,FALSE,Religious Grounds/Cemetery
393 2,2605,151,151,146,139,139,139,438,484,187,572,353,108,2.7,1.85,444,21.96,106.69,25.97,15.1,12702,159,0,0,2,2024,16,420,18,61,2,TRUE,400,5,TRUE,FALSE,0,0,FALSE,Religious Grounds/Cemetery
393 3,2561,33,33,13,284,284,173,296,552,201,436,436,81,5,3.23,558,13.57,15.88,24.47,12.82,11992,159,2395,121,3,2024,16,540,18,59,0,TRUE,20,10,FALSE,TRUE,360,50,TRUE,Religious Grounds/Cemetery
393 5,2567,156,156,82,25,25,25,570,374,139,663,250,0,5.6,2.1,912,21.47,261,25.97,14.45,10495,133,363,1929,5,2024,16,540,19,55.5,2,TRUE,20,15,TRUE,TRUE,300,60,TRUE,Religious Grounds/Cemetery
393 7,2685,155,155,31,214,214,173,331,619,253,542,402,185,9.8,3.79,1319,13.69,115.94,23.86,15.03,12266,161,564,603,7,2024,16,420,18,54.5,1,TRUE,350,5,TRUE,FALSE,0,0,FALSE,Religious Grounds/Cemetery
393 8,2459,24,24,24,169,169,169,444,369,40,509,297,34,7.7,2.66,1347,19.75,226.06,27.01,16.41,14923,167,5600,67,8,2024,16,360,19,64,3,TRUE,300,10,TRUE,FALSE,0,0,FALSE,Religious Grounds/Cemetery
393 11,2674,252,252,108,21,21,21,543,487,77,692,239,0,0,0,232,21.86,117.81,25.97,15.07,12169,154,3343,381,11,2024,16,540,19,55,2,TRUE,20,15,TRUE,TRUE,300,50,TRUE,Religious Grounds/Cemetery
403 3,1651,16,16,16,214,214,98,154,2016,0,3176,1012,410,34.8,7.66,3775,10.95,172.56,12.5,7.46,5129,144,3350,0,3,2023,54,480,15,52.5,1,TRUE,80,10,TRUE,FALSE,0,0,FALSE,Roadside
403 4,1681,9,9,9,336,336,115,232,2128,185,3110,1181,443,8.8,5.47,13641,12.62,290.88,12.82,8.53,6603,149,3371,0,4,2023,54,360,15,58,0,TRUE,80,5,TRUE,FALSE,0,0,FALSE,Roadside
403 6,1474,244,244,9,127,127,127,43,2380,49,2861,947,696,17.7,5.68,4152,11.04,85.56,15.95,8.44,5130,100,0,0,6,2023,54,600,15,54.5,5,FALSE,0,0,FALSE,TRUE,20,30,TRUE,Brownfield
403 7,1643,20,20,20,241,241,114,170,2074,104,3132,1101,421,8.8,5.35,8205,9.79,202.12,12.5,8.6,6175,137,4647,0,7,2023,54,360,15,64.5,2,TRUE,80,5,TRUE,FALSE,0,0,FALSE,Roadside
403 12,1668,49,49,8,323,323,174,215,2211,200,3053,1086,522,7.9,6.07,7848,8.52,34.19,16.03,7.21,6841,200,5207,0,12,2023,54,360,15,54.5,0,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Brownfield
410 1,521,521,521,464,200,200,147,711,481,133,4566,470,366,0,0,0,26.51,400,38.25,17.83,25572,309,0,0,1,2024,89,480,15,66.5,3,FALSE,0,0,FALSE,TRUE,400,80,TRUE,Local Nature Reserve
410 2,638,638,638,337,328,328,28,821,582,8,4620,547,322,0,0,0,18.67,400,38.25,19.06,35877,408,0,0,2,2024,89,420,15,61.5,5,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Local Nature Reserve
410 3,757,681,681,324,349,349,10,751,367,0,4826,418,104,0,0,0,23.19,379.44,27.2,15.57,24868,275,0,0,3,2024,89,480,15,58.5,2,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Local Nature Reserve
410 4,975,511,511,113,501,501,123,801,232,144,5077,377,0,0,0,0,19.48,392.75,23.47,12.42,25095,380,17073,0,4,2024,89,360,14,54.5,3,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Reclaimed greenspace
410 5,797,666,666,162,343,343,125,887,637,145,4683,688,233,0,0,0,7.38,229.5,27.4,11.31,29268,325,0,0,5,2024,89,480,14,62,1,TRUE,80,5,TRUE,FALSE,0,0,FALSE,Reclaimed greenspace
410 9,911,535,535,169,488,488,90,834,320,117,4967,452,16,0,0,0,18.56,400,25.18,13.92,28338,353,8201,0,9,2024,89,480,14,57.5,2,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Reclaimed greenspace
410 10,977,453,453,138,579,579,193,950,425,204,4969,566,6,0,0,0,17.54,153.62,22.65,17.4,22720,322,13901,0,10,2024,89,420,14,55,1,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Reclaimed greenspace
420 1,433,145,145,21,1865,1865,662,9,662,697,473,473,473,8.8,4.58,5991,15.21,207.94,19.17,9.6,7846,153,4786,9358,1,2023,49,420,17,52.5,1,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public carpark
420 2,716,243,243,35,1887,1887,500,13,500,423,754,754,477,8.6,3.97,6596,13.7,359.81,17.81,7.77,7921,158,3214,11034,2,2023,49,480,17,42,3,FALSE,0,0,FALSE,TRUE,25,30,TRUE,Cycle/footpath
420 7,641,138,138,2,1794,1794,467,48,467,489,665,665,462,19.6,4.36,11422,0,0,19.17,9.56,4774,99,28,2595,7,2023,49,480,17,67,27,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public carpark
420 8,594,37,37,0,1703,1703,452,140,452,558,601,601,448,19.6,5.15,15485,0,0,17.12,8.85,1389,47,42,1581,8,2023,49,360,18,56,25,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public square
420 9,279,28,28,8,1711,1711,436,224,436,516,262,262,262,7.8,3.93,3763,7.24,14.81,19.99,7.69,4721,148,0,3748,9,2023,49,360,17,56,0,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Private commercial
420 10,415,28,28,27,1750,1750,604,129,604,688,426,426,426,19.6,5.27,10029,8.02,88.62,19.99,8.33,3140,79,0,5888,10,2023,49,360,17,60,10,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Private commercial
420 11,508,132,132,0,1826,1826,582,27,582,620,539,539,539,19.6,5.08,9128,0,0,19.17,10.19,6538,115,2820,3873,11,2023,49,300,17,55,2,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public carpark
421 1,1058,271,271,119,1317,1317,41,565,123,218,518,518,60,12,5.24,908,20.44,400,31.36,16.33,31312,380,26107,3598,1,2023,49,480,16,16.5,0,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Religious Grounds/Cemetery
421 2,1153,92,92,82,1499,1499,1,467,121,159,696,696,0,17.2,6.15,1722,28.37,400,28.43,16.86,23906,263,13481,6723,2,2023,49,300,15,3,0,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
421 3,1039,125,125,75,1463,1463,2,442,2,268,661,661,0,17.2,6.45,771,17.91,223.25,30.05,13.5,23245,289,17522,2728,3,2023,49,900,15,1,4,TRUE,200,5,TRUE,TRUE,10,30,TRUE,Public Park Or Garden
421 4,1085,387,387,99,1203,1203,3,668,240,112,407,407,125,7.3,4.25,811,26.81,395.94,31.36,17.81,31530,325,25030,3952,4,2023,49,600,16,50,4,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
421 6,708,78,78,19,1546,1546,317,296,317,424,687,687,316,16.2,5.47,10319,16.04,80.31,18.77,9.02,4476,104,1344,8594,6,2023,49,420,14,1,0,TRUE,300,5,TRUE,FALSE,0,0,FALSE,Public residential
421 8,1039,10,10,10,1578,1578,117,345,117,189,776,776,59,17.2,5.45,5119,15.1,179,23.37,9.35,10220,194,2762,9318,8,2023,49,1080,15,3.5,2,FALSE,0,0,FALSE,TRUE,350,30,TRUE,Public Park Or Garden
421 10,1112,222,222,84,1366,1366,2,550,86,299,563,563,0,12,5.7,1489,30.05,400,30.24,15.53,30051,356,22487,8895,10,2023,49,420,16,0,0,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
422 1,1502,253,253,15,1313,1313,303,779,452,320,635,635,303,11.4,4.15,5702,10.3,41.88,23.78,12.3,14885,214,3637,24233,1,2024,89,360,16,55.5,3,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Reclaimed greenspace
422 4,1359,394,394,16,1209,1209,218,792,349,381,421,421,227,18.3,4.49,7023,23.28,344.31,23.62,11.33,12329,179,4627,20275,4,2024,89,360,16,54,0,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Reclaimed greenspace
422 5,1257,257,257,28,1339,1339,107,643,218,271,540,540,108,12,5.02,6994,24.83,275.94,30.05,12.73,15931,232,129,26488,5,2024,89,420,16,60.5,5,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Reclaimed greenspace
422 6,1361,469,469,18,1131,1131,225,844,386,343,341,341,256,18.3,4.98,6998,18.33,374,23.62,11.26,13297,194,2597,22256,6,2024,89,360,15,62,1,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Reclaimed greenspace
422 7,1149,390,390,37,1197,1197,21,693,240,164,395,395,127,8.3,4.45,3162,30.88,380.12,31.36,15.92,25928,294,17917,12106,7,2024,89,360,16,56.5,5,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Public Park Or Garden
422 10,1213,144,144,13,1450,1450,44,539,164,172,650,650,46,17.2,6.31,4294,18.31,89.94,30.05,17.19,23834,261,10570,17741,10,2024,89,420,15,56.5,0,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Reclaimed greenspace
422 11,1597,436,436,38,1028,1028,464,1045,588,560,369,369,369,10.7,4.11,8108,17.19,202.62,18.33,8.17,7434,189,0,23139,11,2024,89,420,16,58,1,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Reclaimed greenspace
474 4,1600,17,17,17,1070,1070,6,362,749,0,5964,747,11,12.2,5.06,5557,33.05,160.12,33.05,13.83,11518,168,8338,1716,4,2023,96,720,17,51.5,20,TRUE,200,5,TRUE,TRUE,100,25,TRUE,Public Park Or Garden
474 5,1572,11,11,11,1050,1050,88,281,674,0,5962,747,55,12.2,5.21,3450,18.81,236.94,33.05,13.89,11128,167,8403,4677,5,2023,96,420,16,47.5,7,TRUE,300,5,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
474 6,1533,45,45,27,996,996,15,408,725,62,5880,666,101,11.7,4.91,9096,7.79,6.75,33.05,9.56,8415,187,1913,8189,6,2023,96,360,17,47.5,6,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Private commercial
485 1,1528,58,58,58,2473,1470,355,193,518,202,997,0,0,8.6,5.32,1476,0,0,23.98,12.47,14415,214,29055,300,1,2024,90,480,17,55,1,TRUE,400,10,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
485 3,1789,9,9,9,2135,1368,550,95,591,113,978,136,136,9.8,5.87,3762,12.99,342.5,22.05,9.32,8045,151,7976,4671,3,2024,90,360,17,61.5,0,TRUE,40,20,TRUE,TRUE,80,60,TRUE,Public Park Or Garden
485 4,1858,23,23,23,2048,1329,612,170,617,203,970,227,227,8.7,5.26,1748,15.35,4.81,15.88,8.42,6743,139,6399,2404,4,2024,90,360,17,60,0,FALSE,0,0,FALSE,TRUE,50,30,TRUE,Public Park Or Garden
485 5,1601,30,30,30,2395,1433,374,121,526,121,978,0,0,9,5.2,2753,13.93,35.75,27.47,13.12,14117,217,23466,1037,5,2024,90,360,17,57.5,9,TRUE,400,10,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
485 9,1673,25,25,25,2316,1400,409,55,521,40,959,0,0,9,5.01,3077,25.02,261.75,30.53,16.59,18303,246,18914,906,9,2024,90,360,17,62,7,TRUE,380,10,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
485 12,1574,23,23,17,2368,1503,455,77,606,118,1055,44,44,9,4.78,6409,2.68,2.81,25.83,10.1,11103,217,11660,5758,12,2024,90,300,17,68.5,0,TRUE,50,5,TRUE,TRUE,5,40,FALSE,Public residential
492 3,2133,45,45,41,85,85,85,852,1151,13,1323,897,897,11.5,4.7,5333,0,0,19.14,12,6022,74,0,6092,3,2024,5,360,11,63,1,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Private commercial
492 6,2074,156,156,4,33,33,33,840,1199,0,1374,969,969,8.1,5.03,4722,5.61,31.38,19.14,8.94,3456,69,0,8724,6,2024,5,660,11,59.5,6,TRUE,80,15,TRUE,TRUE,40,60,TRUE,Cycle/footpath
492 7,2394,59,59,59,340,340,340,1232,925,376,1344,759,759,6.6,4.38,553,19.68,97.69,22.36,13.3,12817,139,4771,790,7,2024,5,660,10,60,5,TRUE,300,10,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
492 10,1997,248,214,19,32,32,32,792,1276,0,1374,1054,1054,8.8,5.23,3931,6.76,0,18.22,6.98,2651,76,1648,8701,10,2024,5,660,11,62,3,TRUE,80,11,TRUE,TRUE,40,60,TRUE,Cycle/footpath
492 11,2296,107,107,15,260,260,260,1134,1012,301,1419,833,833,8.6,4.35,4191,0,0,21.14,8.97,6056,102,3808,7621,11,2024,5,720,10,72,5,TRUE,50,15,TRUE,TRUE,8,80,FALSE,Public Park Or Garden
497 1,726,81,81,8,362,362,362,444,3161,272,2580,391,391,8,5.14,7005,9.54,94.25,15.91,7.91,5352,120,0,13027,1,2024,76,540,13,56.5,7,TRUE,300,10,TRUE,FALSE,0,0,FALSE,Public residential
497 4,597,61,61,61,256,256,256,159,3426,298,2515,623,623,8.2,4.31,10552,0,0,17.28,9.54,3226,102,0,0,4,2024,76,360,13,73,22,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Private commercial
497 5,539,81,69,34,269,269,269,322,3285,316,2645,409,409,15.9,8.05,6403,14.61,62.44,23.7,10.23,7620,149,0,8478,5,2024,76,480,13,61,4,TRUE,350,5,TRUE,FALSE,0,0,FALSE,Private residential
497 10,559,139,77,77,174,174,174,105,3372,250,2549,694,693,25,6.89,8737,8.51,57.31,14.17,6.84,3567,115,0,0,10,2024,76,360,13,66,30,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Private commercial
497 11,490,52,28,28,139,139,139,195,3462,184,2617,607,607,36.3,8.19,3838,7.15,29.62,15.21,8.51,4760,134,0,1084,11,2024,76,360,13,67,10,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Private commercial
497 12,411,61,7,5,124,124,124,249,3358,165,2720,459,459,28.4,10.39,7558,0,0,14.56,9.21,4444,92,0,3568,12,2024,76,360,14,72.5,7,TRUE,25,5,TRUE,FALSE,0,0,FALSE,Private commercial
506 1,1735,155,155,98,1208,1208,9,355,828,0,5906,886,0,8.3,6.63,899,25.47,195.81,30.85,11.61,11810,183,12754,11,1,2023,96,540,15,53,25,TRUE,150,5,FALSE,TRUE,40,30,TRUE,Public Park Or Garden
506 2,1827,248,248,64,1301,1301,7,340,887,5,5814,981,14,7.7,6.27,1607,18.84,199.12,32.73,11.26,14912,220,16140,1564,2,2023,96,420,15,52.5,3,FALSE,0,0,FALSE,TRUE,300,40,TRUE,Public Park Or Garden
506 4,1694,125,125,125,1178,1178,209,144,670,111,5855,916,93,8.3,4.7,2897,12.1,5.75,25.4,15.44,5734,81,2764,0,4,2023,96,300,16,53,11,TRUE,400,5,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
506 5,1711,150,150,150,1192,1192,116,239,738,101,5876,898,44,0,0,0,0,0,21.1,12.97,9052,126,9727,0,5,2023,96,360,16,53.5,4,TRUE,400,5,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
506 8,1575,14,14,14,1057,1057,158,210,626,2,5986,777,103,12.2,4.88,2753,19.49,166.69,28.43,13.3,9867,139,5529,6959,8,2023,96,420,16,49,4,TRUE,300,5,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
506 10,1902,328,328,43,1384,1384,211,50,841,74,5612,1159,108,23,5.74,1883,0,0,19.7,11.79,6306,112,3504,2221,10,2023,96,420,16,53,18,TRUE,300,5,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
506 12,1813,203,203,16,1259,1259,305,21,713,194,5704,1071,121,8.3,4.48,2434,16.21,299.56,25.4,12.46,8126,120,4414,5114,12,2023,96,420,16,53.5,18,TRUE,300,5,TRUE,FALSE,0,0,FALSE,Public Park Or Garden
538 7,2146,687,687,4,1710,1710,9,17,743,0,5320,1471,422,7.8,5.05,3175,18.59,327.19,23.2,10.76,9665,162,2763,6153,7,2023,96,420,15,54.5,1,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Cycle/footpath
538 11,2207,636,636,5,1740,1740,0,17,649,0,5237,1564,519,8,5.32,3905,21.5,206.5,23.2,11.03,10648,206,2827,7533,11,2023,96,480,15,41.5,2,FALSE,0,0,FALSE,TRUE,150,40,TRUE,Private residential
542 1,328,160,160,47,91,91,91,1555,414,70,5531,1776,198,6.3,4.34,1615,0,0,20.44,6.9,1783,46,0,4167,1,2023,92,540,16,43,4,TRUE,400,5,FALSE,FALSE,0,0,FALSE,Playing Field
542 2,224,176,176,37,94,94,94,1308,415,75,5881,1738,220,7.7,4.87,1423,0,0,24.83,7.52,5564,106,9901,6517,2,2023,92,480,17,42,3,TRUE,100,5,TRUE,TRUE,300,80,FALSE,Playing Field
542 3,86,49,49,49,191,191,191,1377,277,170,5852,1638,276,6.7,5.28,221,0,0,25.79,13.01,7676,111,6994,1063,3,2023,92,360,17,41.5,0,TRUE,350,5,TRUE,TRUE,20,30,TRUE,Playing Field
542 4,54,54,54,54,110,110,110,1315,226,92,5939,1546,208,0,0,0,0,0,17.44,11.57,15580,223,5596,0,4,2023,92,420,17,43.5,5,TRUE,250,5,TRUE,TRUE,150,60,TRUE,Playing Field
542 5,49,33,33,33,143,143,143,1466,170,125,5810,1566,164,0,0,0,15.48,126.44,18.98,13.83,10228,145,8347,0,5,2023,92,360,17,43,1,TRUE,300,5,FALSE,TRUE,10,50,FALSE,Playing Field
542 6,66,66,66,66,15,15,15,1258,213,0,6026,1456,163,0,0,0,14.89,328.25,21.08,12.13,19304,265,3079,0,6,2023,92,540,17,44,6,FALSE,0,0,FALSE,TRUE,100,30,TRUE,Other greenspace
542 9,17,17,17,17,72,72,72,1419,93,54,5889,1475,92,0,0,0,18.98,298.94,23.54,13.09,10325,161,5653,0,9,2023,92,420,17,45,1,TRUE,380,10,FALSE,TRUE,10,50,FALSE,Playing Field
542 11,170,134,134,66,27,27,27,1585,228,9,5692,1626,78,6.8,4.72,819,0,0,28.66,13.14,3952,72,2695,2389,11,2023,92,420,16,43,1,TRUE,200,10,FALSE,TRUE,20,50,TRUE,Playing Field
547 1,502,502,502,502,3535,853,47,819,270,398,0,0,0,0,0,0,19.78,400,22.85,15.2,24580,285,24717,0,1,2023,64,300,18,42,0,FALSE,0,0,FALSE,FALSE,0,0,FALSE,Golf Course
